cadena,nom_producte,format,preu,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
BonPreu,BORGES Oli d'oliva suau,1L,4.99,,Oli d'oliva suau Borges en ampolla d'1 litre,BORGES,"25300,, TARREGA",41.6472761,41.6472761,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge., per 100 gr  Valor energètic  3700 kJ / 900 Kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
BonPreu,GERMANOR Oli d'oliva verge extra,0.75L,6.59,,Oli d'oliva verge extra d'olives arbequines Germanor en ampolla de vidre de 750 ml,GERMANOR,"25196,, LLEIDA",41.6147605,41.6147605,"INGREDIENTS: oli d'oliva verge extra de categoria superior, obtingut directament d'olives i tan sols mitjançant procediments mecànics.", Per 100 ml  Valor energètic  3404 kJ / 828 kcal  Greixos  92 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conservar protegit de la llum i la calor.
BonPreu,BORGES Oli d'oliva verge extra,1L,5.99,,Oli d'oliva verge extra Borges en ampolla d'1 litre,BORGES,"25300,, TARREGA",41.6472761,41.6472761,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
BonPreu,CARBONELL Oli d'oliva verge extra,0.75L,4.69,,Oli d'oliva verge extra Carbonell en ampolla de 750 ml,CARBONELL,"14610,, ALCOLEA",37.9324259,37.9324259,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  900 kcal / 3700 kJ  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  79 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Mantenir en lloc fresc i sec.
BonPreu,HOJIBLANCA Oli d'oliva verge extra,3L,15.99,,Oli d'oliva verge extra Hojiblanca en garrafa de 3 litres,HOJIBLANCA,"14610,, ALCOLEA",37.9324259,37.9324259,INGREDIENTS: oli d'oliva verge extra., per 100 ml  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  saturats  13 g  Hidrats de carboni  0 g  sucres  0 g  Proteïnes  0 g  Sal  0 g,Mantenir en lloc fresc i sec.
BonPreu,BORGES Oli d'oliva verge extra,2L,10.99,,Oli d'oliva verge extra Borges en garrafa de 2 litres,BORGES,"25300,, TARREGA",41.6472761,41.6472761,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Mantenir en un lloc fresc i sec, lluny de la llum solar.Tancar després de cada ús."
BonPreu,PONS Oli d'oliva verge extra,0.5L,4.75,,Oli d'oliva verge extra Pons en llauna de 500 ml,PONS,"25124,, ROSSELLO",41.6957707,41.6957707,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  3.382 kJ / 822 kcal  Greixos  91 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i protegir de la llum directa. Per sota dels 6 ºC l'oli d'oliva es pot solidificar o enterbolir, la qual cosa no afecta a la seva qualitat."
BonPreu,HOJIBLANCA Oli d'oliva verge extra,1L,5.49,,Oli d'oliva verge extra Hojiblanca en ampolla d'1 litre,HOJIBLANCA,"14610,, ALCOLEA",37.9324259,37.9324259,INGREDIENTS: oli d'oliva verge extra., per 100 ml  Valor energètic  3040 kJ / 828 kcal  Greixos  92 g  dels quals saturats  12 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Mantenir en lloc fresc i sec.
BonPreu,BONPREU Oli d'oliva suau,2L,6.39,,"Oli d'oliva Bonpreu suau 0,4º acidesa màxima en ampolla de 2 litres",BONPREU,"08508, Les Masies de Voltregà",42.0267288,42.0267288,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge extra., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec. Protegiu-lo de la llum. Tanqueu bé l'envàs després del seu ús.
BonPreu,BONPREU Oli d'oliva verge extra,1L,3.95,,Oli d'oliva verge extra Bonpreu en ampolla d'1 litre,BONPREU,"08508, Les Masies de Voltregà",42.0267288,42.0267288,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  900 kcal / 3700 kJ  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en lloc fresc i sec i protegiu-lo de la llum. Tanqueu bé l'envàs després d'utilitzar-lo.
BonPreu,BONPREU Oli refinat de gira-sol,1L,1.45,,Oli refinat de gira-sol Bonpreu en ampolla d'1 litre,BONPREU,"08508, Les Masies de Voltregà",42.0267288,42.0267288,INGREDIENTS: oli refinat de gira-sol., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g dels quals saturats  10 g  Hidrats de carboni  0 g dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec i protegiu-lo de la llum solar. Tanqueu bé lenvàs després dutilitzar-lo.
BonPreu,BONPREU Oli de gira-sol per fregir,1L,1.79,,Oli especial per fregir Bonpreu en ampolla d'1 litre,BONPREU,NULL,50.13220153333333,50.13220153333333,INGREDIENTS: Oli refinat de gira-sol alt oleic i antiespumant (dimetilpolisiloxa).,Valors mitjans per 100 g Valor energètic900 Kcal/3700kJ Proteïnes0 g  Hidrats de carboni 0 g Greixos 100 g dels quals Saturats 10 g Monoinsaturats 15 g Poliinsaturats 75 g Colesterol 0 mg,"Mantingui'l en un lloc fresc, sec i protegit de la llum."
BonPreu,BONPREU Oli d'oliva intens,1L,3.25,,"Oli d'oliva intens Bonpreu 0,8º acidesa màxima en ampolla d'1 litre",BONPREU,"08508, Les Masies de Voltregà",42.0267288,42.0267288,INGREDIENTS: oli d'oliva verge extra i oli d'oliva refinat., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec i protegiu-lo de la llum. Tanqueu bé l'envàs després del seu ús.
BonPreu,BONPREU Oli d'oliva verge extra,0.75L,3.69,,Oli d'oliva verge extra Selecció Bonpreu en ampolla de 750 ml,BONPREU,"08508, - Les Masies de VoltregàOrigen espanyol",0.0,0.0,INGREDIENTS: oli d'oliva verge extra. Oli d'origen espanyol., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Conserveu-lo en un lloc fresc i sec, protegiu-lo de la llum."
BonPreu,CARBONELL Oli d'oliva suau,1L,4.99,,Oli d'oliva suau Carbonell en ampolla d'1 litre,CARBONELL,"14610,, ALCOLEA",37.9324259,37.9324259,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge.,Per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conservar en lloc fresc i protegit de la llum.
