data,subcategoria,nom_producte,format,preu_euros,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
20211022,Olis,BORGES Oli d'oliva verge extra,1L,5.99,,Oli d'oliva verge extra Borges en ampolla d'1 litre,BORGES,"25300,, TARREGA",41.6472761,1.1409115,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
20211022,Olis,BORGES Oli d'oliva suau,2L,8.39,,Oli d'oliva suau Borges en ampolla de 2 litres,BORGES,"25300,, TARREGA",41.6472761,1.1409115,"INGREDIENTS: oli d'oliva refinat, oli d'oliva verge extra.Oli que conté exclusivament olis d'oliva que s'hagin sotmès a un tractament de refinat i d'olis obtinguts directament d'olives.", per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar.Tancar després de cada ús."
20211022,Olis,GERMANOR Oli d'oliva verge extra arbequina,5L,25.45,,Oli d'oliva verge extra d'olives arbequines Germanor en garrafa de 5 litres,GERMANOR,"25196,, LLEIDA",41.6147605,0.6267842,INGREDIENTS: oli d'oliva verge extra arbequina.,Mantenir en lloc fresc i sec.,NULL
20211022,Olis,BORGES Oli refinat de gira-sol per fregir,1L,1.95,,Oli refinat de gira-sol alt oleic per fregir Borges Borgefrit en ampolla d'1 litre,BORGES,"25300,, TARREGA",41.6472761,1.1409115,"INGREDIENTS: oli refinat de gira-sol, antiespumant E-900.", per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  10 g  monoinsaturats  75 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g  Vitamina E  60 mg,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
20211022,Olis,DUC Oli d'oliva verge extra,5L,23.49,,Oli d'oliva verge extra DUC en ampolla de 5 litres,DUC,"43206,, REUS",41.15699246132245,1.100767243774461,INGREDIENTS: Oli d'oliva de categoria superior obtingut directament d'olives i només mitjançant procediments mecànics.,Preservar de la calor i l'excés de llum.,NULL
20211022,Olis,CARBONELL Oli d'oliva verge extra,0.75L,4.65,,Oli d'oliva verge extra Carbonell en ampolla de 750 ml,CARBONELL,"14610,, ALCOLEA",37.9324259,-4.6699076,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  900 kcal / 3700 kJ  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  79 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Mantenir en lloc fresc i sec.
20211022,Olis,CARBONELL Oli d'oliva suau,3L,12.99,,Oli d'oliva suau Carbonell en garrafa de 3 litres,CARBONELL,"14610,, ALCOLEA",37.9324259,-4.6699076,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge., per 100 ml  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g  Vitamina E  20 mg,Mantenir en lloc fresc i sec.
20211022,Olis,PONS Oli d'oliva verge extra,0.5L,4.45,,Oli d'oliva verge extra Pons en llauna de 500 ml,PONS,"25124,, ROSSELLO",41.6957707,0.5960884,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  3.382 kJ / 822 kcal  Greixos  91 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i protegir de la llum directa. Per sota dels 6 ºC l'oli d'oliva es pot solidificar o enterbolir, la qual cosa no afecta a la seva qualitat."
20211022,Olis,CARBONELL Oli d'oliva verge extra,1L,5.99,,Oli d'oliva verge extra Crabonell en ampolla d'1 litre,CARBONELL,"14610,, ALCOLEA",37.9324259,-4.6699076,Oli d'oliva Verge Extra., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  79 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g  Vitammina E  20 mg,Mantenir en lloc fresc i sec.
20211022,Olis,PONS Oli d'oliva verge extra,3L,9.95,,Oli d'oliva verge extra Pons en garrafa de 3 litres,PONS,"25124,, ROSSELLO",41.6957707,0.5960884,INGREDIENTS: Oli d'oliva verge extra.,"Conservar amb un lloc fresc i sec, protegit de la llum.",NULL
20211022,Olis,BONPREU Oli d'oliva suau,2L,6.39,,"Oli d'oliva Bonpreu suau 0,4º acidesa màxima en ampolla de 2 litres",BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge extra., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec. Protegiu-lo de la llum. Tanqueu bé l'envàs després del seu ús.
20211022,Olis,BONPREU Oli d'oliva verge extra,1L,3.95,,Oli d'oliva verge extra Bonpreu en ampolla d'1 litre,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  900 kcal / 3700 kJ  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en lloc fresc i sec i protegiu-lo de la llum. Tanqueu bé l'envàs després d'utilitzar-lo.
20211022,Olis,BONPREU Oli refinat de gira-sol,1L,1.45,,Oli refinat de gira-sol Bonpreu en ampolla d'1 litre,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli refinat de gira-sol., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g dels quals saturats  10 g  Hidrats de carboni  0 g dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec i protegiu-lo de la llum solar. Tanqueu bé lenvàs després dutilitzar-lo.
20211022,Olis,BONPREU Oli de gira-sol per fregir,1L,1.79,,Oli especial per fregir Bonpreu en ampolla d'1 litre,BONPREU,NULL,50.13220153333333,18.9011335,INGREDIENTS: Oli refinat de gira-sol alt oleic i antiespumant (dimetilpolisiloxa).,Valors mitjans per 100 g Valor energètic900 Kcal/3700kJ Proteïnes0 g  Hidrats de carboni 0 g Greixos 100 g dels quals Saturats 10 g Monoinsaturats 15 g Poliinsaturats 75 g Colesterol 0 mg,"Mantingui'l en un lloc fresc, sec i protegit de la llum."
20211022,Olis,BONPREU Oli d'oliva intens,1L,3.25,,"Oli d'oliva intens Bonpreu 0,8º acidesa màxima en ampolla d'1 litre",BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli d'oliva verge extra i oli d'oliva refinat., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec i protegiu-lo de la llum. Tanqueu bé l'envàs després del seu ús.
20211022,Olis,BORGES Oli d'oliva suau,1L,4.99,,Oli d'oliva suau Borges en ampolla d'1 litre,BORGES,"25300,, TARREGA",41.6472761,1.1409115,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge., per 100 gr  Valor energètic  3700 kJ / 900 Kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
20211022,Olis,BONPREU Oli d'oliva verge extra,0.75L,3.69,,Oli d'oliva verge extra Selecció Bonpreu en ampolla de 750 ml,BONPREU,"08508, - Les Masies de VoltregàOrigen espanyol",0.0,0.0,INGREDIENTS: oli d'oliva verge extra. Oli d'origen espanyol., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Conserveu-lo en un lloc fresc i sec, protegiu-lo de la llum."
20211022,Olis,GERMANOR Oli d'oliva verge extra,0.75L,6.39,,Oli d'oliva verge extra d'olives arbequines Germanor en ampolla de vidre de 750 ml,GERMANOR,"25196,, LLEIDA",41.6147605,0.6267842,"INGREDIENTS: oli d'oliva verge extra de categoria superior, obtingut directament d'olives i tan sols mitjançant procediments mecànics.", Per 100 ml  Valor energètic  3404 kJ / 828 kcal  Greixos  92 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conservar protegit de la llum i la calor.
20211022,Olis,CARBONELL Oli d'oliva suau,1L,4.99,,Oli d'oliva suau Carbonell en ampolla d'1 litre,CARBONELL,"14610,, ALCOLEA",37.9324259,-4.6699076,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge.,Per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conservar en lloc fresc i protegit de la llum.
20211022,Olis,BORGES Oli refinat de gira-sol,1L,2.45,,Oli refinat de gira-sol Borges Borgesol en ampolla d'1 litre,BORGES,"25300,, TARREGA",41.6472761,1.1409115,INGREDIENTS: oli refinat de gira-sol., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  10 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Conservar en lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
20211022,Olis,BONPREU Oli d'oliva verge extra,2L,7.89,,Oli d'oliva verge extra Bonpreu en ampolla de 2 litres,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli d'oliva verge extra. Oli d'oliva de categoria superior obtingut directament de les olives i només mitjançant procediments mecànics., per 100 g  Valor energètic  900 kcal / 3700 kJ  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en lloc fresc i sec i protegiu-lo de la llum.Tanqueu bé l'envàs després d'utilitzar-lo.
20211022,Olis,BONPREU Oli d'oliva intens,2L,6.39,,"Oli d'oliva intens 0,8º acidesa màxima Bonpreu en ampolla de 2 litres",BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli d'oliva verge extra i oli d'oliva refinat., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec. Protegiu-lo de la llum. Tanqueu bé l'envàs després del seu ús.
20211022,Olis,BONPREU Oli d'oliva suau,1L,3.20,,"Oli d'oliva suau Bonpreu 0,4º acidesa màxima en ampolla d'1 litre",BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec. Protegiu-lo de la llum. Tanqueu bé l'envàs després del seu ús.
20211022,Olis,BONPREU Oli refinat de gira-sol,2L,2.89,,Oli refinat de gira-sol Bonpreu en ampolla de 2 litres,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: Oli refinat de gira-sol., per 100 g  Valor energètic  900 Kcal / 3700 kJ  Greixos  100 g dels quals saturats  10 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Fibra alimentària  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec i protegiu-lo de la llum solar. Tanqueu l'emvàs després d'utilitzar-lo.
20211022,Olis,BONPREU Oli refinat de gira-sol,5L,6.95,,Oli refinat de gira-sol Bonpreu en garrafa de 5 litres,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: oli refinat de gira-sol., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Conserveu-lo en un lloc fresc i sec i protegiu-lo de la llum solar. Tanqueu be l'envàs després d'utilitzar-lo.
20211022,Olis,BORGES Oli d'oliva verge extra arbequina,0.75L,5.49,,Oli d'oliva verge extra Arbequina Borges en ampolla de 750 ml,BORGES,"25300,, TARREGA",41.6472761,1.1409115,INGREDIENTS: oli d'oliva verge extra., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Conservar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
20211022,Olis,LA MASIA Oli d'oliva intens,1L,4.59,,Oli d'oliva intens La Masia Sumum en ampolla d'1 litre,LA MASIA,"41703,, DOS HERMANAS",37.283689,-5.9226718,INGREDIENTS: oli d'oliva verge i oli d'oliva refinat., per 100 ml  Valor energètic  3389 kj / 824 kcal  Greixos  92 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Preservar de la calor i de l'excés de llum.
20211022,Olis,BORGES Oli d'oliva suau,5L,24.59,,Oli d'oliva suau Borges en garrafa de 5 litres,BORGES,"25300,, TARREGA",41.6472761,1.1409115,"INGREDIENTS: oli d'oliva refinat, oli d'oliva verge extra.", per 100 gr  Valor energètic  3700 Kj / 900 Kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús."
20211022,Olis,BONPREU Oli d'oliva verge extra arbequina,0.75L,4.95,,Oli d'oliva verge extra arbequina Bonpreu en ampolla de 750 ml,BONPREU,"08508, Les Masies de VoltregàFet a Catalunya",0.0,0.0,INGREDIENTS: oli d'oliva verge extra. Oli d'origen espanyol., per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  17 g  Hidrats de carboni  0 g dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Recomanacions: tanqueu l'envàs després d'utilitzar-lo.Conservació: conserveu-lo en un lloc fresc i sec, i protegiu-lo de la llum."
20211022,Olis,OLEAURUM Oli d'oliva verge extra,0.75L,8.35,,"Oli d'oliva verge extra Olearum DO Siurana en ampolla de vidre de 0,75 litres",OLEAURUM,"43206,, REUS",41.15699246132245,1.100767243774461,INGREDIENTS: oli d'oliva de categoria superior obtingut directament d'olives i només mitjançant procediments mecànics., per 100 g  Valor energètic  882 kcal / 3626 kJ  Greixos  98 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,Preservar de la calor i de l'excés de llum.
20211022,Vinagres i amaniments,BONPREU Vinagre de vi blanc,1L,0.49,,Vinagre de vi blanc Bonpreu en ampolla d'1 litre,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,INGREDIENTS: vinagre de vi blanc i antioxidant (diòxid de sofre). Conté sulfits.,Conservar en lloc fresc i sec.,NULL
20211022,Vinagres i amaniments,BONPREU Vinagre balsàmic de Mòdena,0.25L,1.30,,Vinagre balsàmic de Mòdena Bonpreu en ampolla de 250 ml,BONPREU,"26009, Logroño (La Rioja) per a BON PREU, SAU - Ctra C-17 km73 - 08509 Les Masies de Voltregà",0.0,0.0,"INGREDIENTS: vinagre de vi (sulfits), concentrat de most de raïm i colorant (caramel de sulfit amònic). "," per 100 g  Valor energètic  335 kJ / 80 kcal  Greixos  0 g  dels quals saturats  0 g  Hidrats de carboni  15 g  dels quals sucres  15 g  Proteïnes  0,7 g  Sal  0,07 g","Conserveu-lo en un lloc fresc, sec i protegit per la llum solar."
